hole_number,from,to,base_lithology,litho_detailed,lith_general,lith_grain_size,lith_texture1,lith_texture2,lith_texture3,lith_description,alt_from_m,alt_to_m,dominant_alteration,intensity,dominant_alt_mins,min_from_m,min_to_m,py_pct_nv,ccp_pct_nv,bn_pct_nv,interval_type
AXE-23-001,,,,,,,,,,,12.2,17.0,PHY,4.0,SER+PY,,,,,,Alteration
AXE-23-001,,,,,,,,,,,26.32,38.0,SKN,7.0,MAGNETITE+GARNET+EP,,,,,,Alteration
AXE-23-001,,,,,,,,,,,230.85,233.26,PRO,4.0,ACT+CHL,,,,,,Alteration
AXE-23-001,,,,,,,,,,,293.0,305.0,PRO,4.0,ACT+CHL+EP,,,,,,Alteration
AXE-23-001,,,,,,,,,,,305.0,320.0,PRO,4.0,ACT+EP+CHL,,,,,,Alteration
AXE-23-001,,,,,,,,,,,320.0,323.35,SKN,7.0,MAGNETITE+ACT+EP,,,,,,Alteration
AXE-23-001,,,,,,,,,,,588.21,589.35,PRO,2.0,CHL+ACT,,,,,,Alteration
AXE-23-001,,,,,,,,,,,605.0,617.85,ARG,1.0,CLAY+HEM,,,,,,Alteration
AXE-23-001,,,,,,,,,,,617.85,634.37,ARG,3.0,CLAY+HEM,,,,,,Alteration
AXE-23-001,,,,,,,,,,,709.05,716.55,PRO,3.0,ACT+CHL,,,,,,Alteration
AXE-23-001,,,,,,,,,,,716.55,721.53,PRO,4.0,ACT+CHL+/-EP,,,,,,Alteration
AXE-23-002,,,,,,,,,,,72.0,86.95,SKN,4.0,MAGNETITE,,,,,,Alteration
AXE-23-002,,,,,,,,,,,107.2,110.4,PHY,5.0,SER+PY+/-QTZ,,,,,,Alteration
AXE-23-002,,,,,,,,,,,110.4,121.2,SKN,3.0,MAGNETITE,,,,,,Alteration
AXE-23-002,,,,,,,,,,,121.2,125.53,PRO,4.0,ACT+CHL+EP,,,,,,Alteration
AXE-23-002,,,,,,,,,,,125.53,137.0,ARG,5.0,CLAY+PY,,,,,,Alteration
AXE-23-002,,,,,,,,,,,230.0,241.0,ARG,3.0,CLAY+SERICITE+QUARTZ,,,,,,Alteration
AXE-23-002,,,,,,,,,,,241.0,248.4,ARG,4.0,FAULT GOUGE,,,,,,Alteration
AXE-23-002,,,,,,,,,,,248.4,251.42,ARG,5.0,CLAY+EP,,,,,,Alteration
AXE-23-002,,,,,,,,,,,350.5,361.74,PRO,5.0,EP+CHL,,,,,,Alteration
AXE-23-002,,,,,,,,,,,381.09,394.72,PRO,4.0,EP,,,,,,Alteration
AXE-23-002,,,,,,,,,,,645.25,647.49,PRO,5.0,EP+CHL,,,,,,Alteration
AXE-23-002,,,,,,,,,,,749.0,770.0,ARG,4.0,CLAY+FUCHSITE+HEM,,,,,,Alteration
AXE-23-002,,,,,,,,,,,814.37,819.01,PRO,4.0,CHL+EP,,,,,,Alteration
AXE-23-003,,,,,,,,,,,55.15,58.8,PHY,5.0,SERICITE,,,,,,Alteration
AXE-23-003,,,,,,,,,,,58.8,66.14,PRO,4.0,CHL+EP,,,,,,Alteration
AXE-23-003,,,,,,,,,,,103.3,110.25,PRO,3.0,CHL+EP,,,,,,Alteration
AXE-23-003,,,,,,,,,,,230.58,240.48,PRO,4.0,CHL+EP,,,,,,Alteration
AXE-23-003,,,,,,,,,,,240.48,243.11,PRO,4.0,CHL,,,,,,Alteration
AXE-23-003,,,,,,,,,,,243.11,248.4,PRO,4.0,CHL+EP,,,,,,Alteration
AXE-23-003,,,,,,,,,,,248.4,253.2,ARG,4.0,CLAY,,,,,,Alteration
AXE-23-003,,,,,,,,,,,253.2,257.0,PRO,4.0,EP+CHL,,,,,,Alteration
AXE-23-004,,,,,,,,,,,12.25,20.44,PRO,4.0,"CHL, EP, HEM, MAG",,,,,,Alteration
AXE-23-004,,,,,,,,,,,29.0,44.5,PRO,4.0,"CHL, EP, CAL, MAG",,,,,,Alteration
AXE-23-004,,,,,,,,,,,112.3,113.0,SCC,2.0,"CHL, SER, SIL",,,,,,Alteration
AXE-23-004,,,,,,,,,,,113.0,119.5,SKN,3.0,,,,,,,Alteration
AXE-23-004,,,,,,,,,,,119.5,131.0,PRO,4.0,"CHL, CAL, SER,MAG, HEM, PY",,,,,,Alteration
