hole_number,from,to,base_lithology,litho_detailed,lith_general,lith_grain_size,lith_texture1,lith_texture2,lith_texture3,lith_description,alt_from_m,alt_to_m,dominant_alteration,intensity,dominant_alt_mins,min_from_m,min_to_m,py_pct_nv,ccp_pct_nv,bn_pct_nv,interval_type
AXE-23-001,0.0,2.0,OVB,OVB,,,,,,OVERBURDEN,,,,,,,,,,,Lithology
AXE-23-001,2.0,6.0,CL,CL,NC,,,,,"TOP OF BEDROCK REACHED AT 2M, NO RECOVERY UNTIL 6M",,,,,,,,,,,Lithology
AXE-23-001,44.0,55.0,CL,CL,NC,,,,,"CORE LOSS IN FAULTY MATERIAL, DRILLER HAD TO RE-COLLAR TO 57M, ONLY ~2M RECOVERED FROM 44-57M WHICH IS PROBABLY THE LAST BIT OF ROCK PULLED UP.",,,,,,,,,,,Lithology
AXE-23-002,0.0,2.0,OVB,OVB,NC,,,,,"OVERBURDEN, NO CORE RECOVERED",,,,,,,,,,,Lithology
AXE-23-002,2.0,6.0,CL,CL,NC,,,,,"BEDROCK HIT AT 2M, NO CORE RECOVERED",,,,,,,,,,,Lithology
AXE-23-002,104.0,105.0,CL,CL,NC,,,,,CORE WAS LOST DUE TO DRILLERS NEEDING TO TRICONE THROUGH AND ADVANCE CASING TO 105M,,,,,,,,,,,Lithology
AXE-23-002,134.0,135.45,CL,CL,NC,,,,,"DRILLER ENCOUNTERED PROBLEMS WITH DRILLING AND HAD TO TRICONE THROUGH THIS SECTION, NO CORE RECOVERED.",,,,,,,,,,,Lithology
AXE-23-003,0.0,6.0,CAS,CAS,,,,,,,,,,,,,,,,,Lithology
AXE-23-004,0.0,4.0,OVB,OVB,NC,,,,,"OVERBURDEN, NO CORE RECOVERED",,,,,,,,,,,Lithology
AXE-23-004,4.0,6.0,CL,CL,NC,,,,,"BEDROCK WAS HIT AT 4M, NO CORE RECOVERED",,,,,,,,,,,Lithology
