hole_number,from,to,base_lithology,litho_detailed,lith_general,lith_grain_size,lith_texture1,lith_texture2,lith_texture3,lith_description,alt_from_m,alt_to_m,dominant_alteration,intensity,dominant_alt_mins,min_from_m,min_to_m,py_pct_nv,ccp_pct_nv,bn_pct_nv,interval_type
AXE-23-001,,,,,,,,,,,,,,,,35.0,44.0,0.1,0.0,0.0,Mineralization
AXE-23-001,,,,,,,,,,,,,,,,252.7,254.0,15.0,2.0,0.0,Mineralization
AXE-23-001,,,,,,,,,,,,,,,,271.0,285.7,0.5,0.1,0.0,Mineralization
AXE-23-002,,,,,,,,,,,,,,,,110.4,121.2,0.2,0.0,0.0,Mineralization
AXE-23-002,,,,,,,,,,,,,,,,121.2,125.53,3.0,0.0,0.0,Mineralization
AXE-23-002,,,,,,,,,,,,,,,,182.16,185.42,0.5,0.5,0.0,Mineralization
AXE-23-002,,,,,,,,,,,,,,,,591.8,592.1,0.0,0.0,0.0,Mineralization
AXE-23-003,,,,,,,,,,,,,,,,277.5,285.0,0.0,0.0,0.0,Mineralization
AXE-23-004,,,,,,,,,,,,,,,,37.6,38.65,0.2,0.0,0.0,Mineralization
AXE-23-004,,,,,,,,,,,,,,,,122.0,128.5,0.1,0.0,0.0,Mineralization
AXE-23-004,,,,,,,,,,,,,,,,146.0,151.0,0.1,0.0,0.0,Mineralization
AXE-23-004,,,,,,,,,,,,,,,,349.9,350.6,0.0,0.0,0.0,Mineralization
AXE-23-004,,,,,,,,,,,,,,,,410.0,479.0,0.1,0.0,0.0,Mineralization
AXE-23-005,,,,,,,,,,,,,,,,48.81,59.0,1.0,0.1,0.0,Mineralization
AXE-23-006,,,,,,,,,,,,,,,,32.6,33.53,10.0,0.0,0.0,Mineralization
AXE-23-007,,,,,,,,,,,,,,,,332.15,349.26,0.01,0.0,0.0,Mineralization
AXE-23-007,,,,,,,,,,,,,,,,349.26,360.0,0.01,0.01,0.0,Mineralization
AXE-23-007,,,,,,,,,,,,,,,,360.0,384.22,0.01,0.01,0.0,Mineralization
AXE-23-007,,,,,,,,,,,,,,,,384.22,419.15,0.01,0.01,0.0,Mineralization
AXE-23-007,,,,,,,,,,,,,,,,419.15,446.69,0.1,0.0,0.0,Mineralization
AXE-23-008,,,,,,,,,,,,,,,,713.06,719.0,2.0,0.3,0.0,Mineralization
AXE-23-008,,,,,,,,,,,,,,,,810.5,816.27,0.0,0.0,0.0,Mineralization
AXE-23-012,,,,,,,,,,,,,,,,637.44,673.84,0.25,0.01,0.0,Mineralization
AXE-23-012,,,,,,,,,,,,,,,,788.0,793.35,0.1,0.05,0.0,Mineralization
AXE-23-013,,,,,,,,,,,,,,,,292.5,308.0,0.7,0.1,0.0,Mineralization
AXE-23-014,,,,,,,,,,,,,,,,143.36,153.56,0.5,1.0,0.0,Mineralization
AXE-23-014,,,,,,,,,,,,,,,,153.56,184.53,0.01,1.0,0.0,Mineralization
AXE-23-014,,,,,,,,,,,,,,,,184.53,200.0,0.0,0.5,0.0,Mineralization
AXE-23-014,,,,,,,,,,,,,,,,299.0,301.54,0.1,0.5,0.0,Mineralization
AXE-23-014,,,,,,,,,,,,,,,,301.54,308.0,0.01,0.5,0.0,Mineralization
AXE-23-014,,,,,,,,,,,,,,,,527.23,533.0,0.1,0.5,0.0,Mineralization
AXE-23-014,,,,,,,,,,,,,,,,533.0,569.67,0.1,1.0,0.0,Mineralization
AXE-23-016,,,,,,,,,,,,,,,,281.0,290.0,2.5,0.0,0.0,Mineralization
AXE-23-016,,,,,,,,,,,,,,,,603.31,603.7,0.0,0.0,0.0,Mineralization
AXE-23-016,,,,,,,,,,,,,,,,603.7,607.5,3.0,0.0,0.0,Mineralization
AXE-23-017,,,,,,,,,,,,,,,,549.0,600.0,0.5,0.0,0.0,Mineralization
AXE-23-018,,,,,,,,,,,,,,,,482.0,515.0,0.5,0.05,0.0,Mineralization
AXE-23-018,,,,,,,,,,,,,,,,515.0,548.98,1.5,0.2,0.0,Mineralization
AXE-23-018,,,,,,,,,,,,,,,,626.0,642.53,0.4,0.0,0.0,Mineralization
AXE-23-018,,,,,,,,,,,,,,,,692.0,719.0,0.5,0.1,0.0,Mineralization
AXE-23-018,,,,,,,,,,,,,,,,857.71,864.75,5.0,0.1,0.0,Mineralization
