,Lithology,,,,,,,,,,Alteration,,,,,Mineralization,,,,
"Hole 
Number","From 
(m)","To 
(m)","Base 
Lithology","Litho 
Detailed","Lith 
General","Lith
Grain Size","Lith
Texture1","Lith 
Texture2","Lith
Texture3",Lith Description,"Alt 
From (m)","Alt
To (m)","Dominant 
Alteration",Intensity,Dominant Alt Mins,"Min 
From (m)","Min
To (m)","Py pct
NV*","Ccp pct
NV*","Bn pct
NV*"
AXE-23-001,0,2,OVB,OVB,,,,,,Overburden,,,,,,,,,,
AXE-23-001,2,6,CL,CL,NC,,,,,"Top of bedrock reached at 2m, no recovery until 6m",,,,,,,,,,
AXE-23-001,6,17,DIO,DIO,SVI,FMG,XEN,SER,POR,"med-light grey diorite. Some sub-rounded clasts (volcanoclastic?) in spots up to 6cm. Groundmass is mostly fine-med grained, subvolcanic looking with possible quenching zones that look to have some layering/flow banding. Small plag phenos avg 1mm and actinolite/chlorite altered acicular hornblende phenos avg 1.5mm throughout. Wk-str magnetic with tiny blebs of magnetite throughout.",6,12.2,PRO,4,Chl+act+ep,6,17,2,0.1,0
,,,,,,,,,,,12.2,17,PHY,4,Ser+py,,,,,
AXE-23-001,17,21.07,DIO,DIO,VCB,FMG,POR,XEN,,"light green-grey and med red volcanoclastic dirorite. Chaotic volcanoclastic/brecciated look to the rock, many fragments with some light grey-green coloured and others red hem stained. Red hem stained rock might be a matrix of some sort, could be rhyolite in origin. Some altered palg and hornblende texture slightly visible, up to 2mm phenos where visible. Clasts in rock are around a couple cms average. Some patches of wk mag.",17,21.07,PHY,4,Ser+py+/-qtz,17,21.07,0.25,0,0
AXE-23-001,21.07,23.14,DIO,DIO,SVI,MG,POR,PSBX,MEL,"light-dark green diorite. Highly altered diorite with magnetite and ep, possibly sub-volcanic, possible volcanoclastic. Some visible phenos avg 1mm of plag and hornblende. A small zone of what could be a dyklet or a xenolith of the red hem stained rocktype seen above with calcite veining. Highly magnetic throughout.",21.07,23.14,SKN,6,Magnetite+ep,21.07,23.14,5,0.1,0
AXE-23-001,23.14,26.35,DIO,DIO,VCB,FMG,XEN,POR,,"med grey and red volcanoclastic/brecciated diorite. Similar to the unit above the magnetite/epidote altered unit. The red possibly rhyolite rock seems to have some zones where they are all going in the same diection like layering, ~45 dtca, could be due to pressure injecting the fluid through the diorite. Top contact looks to be ~28 dtca. Alt looks more phyllic than before, other than the red hem. Mostly no-mag to wk mag with some moderate patches.",23.14,26.32,PHY,5,Py+ser+/-qtz,23.14,28.6,0.5,0.1,0
,,,,,,,,,,,26.32,38,SKN,7,Magnetite+garnet+ep,,,,,
AXE-23-001,26.35,44,FBX,FBX,FLT,FMG,XEN,POR,,intensly altered and faulted green-black diorite. Unit starts off looking similar to the ep/mag altered diorite above but becomes even more intensely altered to green and black from 29-35 with some faulted zones of rubble and gouge. Some texture is presereved showing fine-med grained diorite with small 1mm plag and hornblende phenos.,38,44,PHY,3,Ser+clay+py,28.6,35,0.75,0,0
,,,,,,,,,,,,,,,,35,44,0.1,0,0
AXE-23-001,44,55,CL,CL,NC,,,,,"core loss in faulty material, driller had to re-collar to 57m, only ~2m recovered from 44-57m which is probably the last bit of rock pulled up.",,,,,,,,,,
AXE-23-001,55,59,AND,AND,FLT,FMG,XEN,POR,,"Zone of heavily faulted andesite and possible diorite, med grey with some light green. highly faulted and could be andesite with fragments/bx of diorite-microdiorite. Mod-str mag throughout in patches.",55,59,PRO,3,Chl+act+ep,55,59,0.5,0.1,0
AXE-23-001,59,60.05,AND,AND,DYK,FG,AMG,,,med grey fine grained andesite dyke. Some sparce cal and ep filled amygdules. Wk-mod mag.,59,60.05,PRO,2,Chl+act+/-ep,59,60.05,0.1,0,0
AXE-23-001,60.05,71.2,AND,AND,FLT,FMG,XEN,POR,,Same as above the andesite dyke.,60.05,71.2,PRO,3,Chl+act+ep,60.05,71.2,0.5,0.1,0
AXE-23-001,71.2,79.25,AND,AND,DYK,FG,AMG,MEL,,med grey fine grained andesite dyke. Mostly fine grained with some spotty act altered hornblende macules occasionally seen (melanocratic). Some white spots of calcite that could be sparce amygdules. Wk-mod mag.,71.2,79.25,PRO,3,Chl+act+/-ep,71.2,79.25,0.1,0,0
AXE-23-001,79.25,101.05,DIO,DIO,VCB,FMG,XEN,POR,SER,"med grey diorite with some brecciated and subvolcanic. Plag and hornblende phenos throughout up to 2mm, hornblende looking usually smaller than plag. Looks less faulted than faulting above andesite but still very fractured/broken. Some sections with strong brecciation, diorite clasts floating in slightly finer grained matrix. Some zones that look to have flow banding and/or deformation causing undulatory layers. Wk pchy mag occasionally with some slightly mod mag. Some spots with a tiny orange/brown mineral that isn't very hard, has a slight cleavage, possibly elongate sphene shape, dotted in the groundmass, possible titanite. There appears to be a small 25cm andesite dyklet with amygdules at 94.65-94,90m that looks just like the other andesite dykes encountered in the hole.",79.25,101.05,PRO,4,Chl+act+ep,79.25,101.05,1,0.1,0
AXE-23-001,101.05,102.42,AND,AND,DYK,FG,CHL,POR,AMG,med-dark grey andesite dyke. Fine grained with some act/chl altered hornblende phenos up to 3mm. Chill margins on the top and bottom of unit with no phenos and finer groundmass. Small ~1mm calcite filled amygdules throughout. Mod magnetism throughout. Bottom contact is approx 45 dtca.,101.05,102.42,PRO,5,Chl+ser,101.05,102.42,0.05,0,0
AXE-23-001,102.42,154.02,DIO,DIO,VCB,FMG,POR,XEN,,"med-dark grey-green diorite. Heavily fractured and faulted, some things hard to see in rock. Looks slightly volcanoclastic with some sub-rounded clasts in groundmass but not enough to be breccia. Fine-med grained, plag and hornblende phenos up to ~2mm in size. Strong prop alt seems to be making rock soft and brittle throughout. Mod-str patches of mag throughout with some un-magnetic rock. There is one small andesite dyklet at ~137.10m (difficult to tell where it starts or end in the broken rock), ~15cm long. Last ~1m has magnetite and epidote in some of the fault rubble",102.42,152.55,PRO,6,Chl+act+/-ep,102.42,143.7,2,0.1,0
,,,,,,,,,,,152.55,154.02,SKN,5,Magnetite+ep+garnet,143.7,154.02,2,0.2,0
AXE-23-001,154.02,156.42,AND,AND,DYK,FG,POR,CHL,,dark grey andesite dyke. Fine grained with some act altered hornblende phenos up to 4mm. Chilled margins at top and bottom. Cal filled amygdules.,154.02,156.42,PRO,5,Act+chl,154.02,156.42,0.1,0,0
AXE-23-001,156.42,162.8,MM,MM,FLT,FMG,MEL,,,"black magnetite skarn altered rock with some green. Rock has been completely altered and replaced with mostly magnetite and some epidote. Some patches of prop minerals can be seen but all texture has been destroyed and the rock is mostly sandy. The rock is rubbly from faulting probably. Some large vns and blebs of cpy throughout. Sharp top contact between andesite and skarn is intact, 39 dtca.",156.42,162.8,SKN,7,Magnetite+ep+garnet,156.42,162.8,15,5,0
AXE-23-001,162.8,227.5,DIO,DIO,VCB,FMG,XEN,POR,,"light-med grey-green volcanoclastic diorite. Variegated colour between grey and green ep. Much of rock is broken up and flted. Chaotic looking brecciation in intact pieces, many lith types, diorite pieces with some andesite, possible rhyolite and/or monzonite, frags of the magnetite skarn looking material, many sub-rounded with a few slightly angular, avg size is a few cms. Much of texture is obscured by alt and rubble, some plag and hornblende phenos visible up to 2mm. Patchy wk-mod mag throughout, some spots with no mag. A small andesite dyke is found at 219.70-219.92m that looks like the others previously seen.",162.8,181.5,PRO,5,Act+chl+ep,162.8,170,0.25,0.1,0.1
,,,,,,,,,,,181.5,200,SKN,5,Magnetite+ep+garnet,170,185.25,0.1,0,0
