Point number,Sample Number,Site ID,Target,Grid,UTM_East,UTM_North,Elevation (m),Sample Type,Standard Type,Date_Sampled,Sampler,Moisture,Angularity,Depth_cm,Horizon,Color,Site Vegetation,Texture,Description,Ag ppm AuME-ST43,Al % AuME-ST43,As ppm AuME-ST43,Au ppm AuME-ST43,Au ppm AuME-ST43 status,Au ppm AuME-ST43 certificate,Au ppm AuME-ST43 certificate completed,Au ppm AuME-ST43 laboratory,Au ppm AuME-ST43 sample analysis workflow,B ppm AuME-ST43,Ba ppm AuME-ST43,Be ppm AuME-ST43,Bi ppm AuME-ST43,Ca % AuME-ST43,Cd ppm AuME-ST43,Ce ppm AuME-ST43,Co ppm AuME-ST43,Cr ppm AuME-ST43,Cs ppm AuME-ST43,Cu ppm AuME-ST43,Cu ppm AuME-ST43 status,Cu ppm AuME-ST43 certificate,Cu ppm AuME-ST43 certificate completed,Cu ppm AuME-ST43 laboratory,Cu ppm AuME-ST43 sample analysis workflow,Fe % AuME-ST43,Ga ppm AuME-ST43,Ge ppm AuME-ST43,Hf ppm AuME-ST43,Hg ppm AuME-ST43,In ppm AuME-ST43,K % AuME-ST43,La ppm AuME-ST43,Li ppm AuME-ST43,Mg % AuME-ST43,Mn ppm AuME-ST43,Mo ppm AuME-ST43,Na % AuME-ST43,Nb ppm AuME-ST43,Ni ppm AuME-ST43,P % AuME-ST43,Pb ppm AuME-ST43,Pd ppm AuME-ST43,Pt ppm AuME-ST43,Rb ppm AuME-ST43,Re ppm AuME-ST43,Recvd Wt. kg WEI-21,S % AuME-ST43,Sb ppm AuME-ST43,Sc ppm AuME-ST43,Se ppm AuME-ST43,Sn ppm AuME-ST43,Sr ppm AuME-ST43,Ta ppm AuME-ST43,Te ppm AuME-ST43,Th ppm AuME-ST43,Ti % AuME-ST43,Tl ppm AuME-ST43,U ppm AuME-ST43,V ppm AuME-ST43,W ppm AuME-ST43,WT. SAMPLE g AuME-IC43i,WT. SAMPLE g AuME-MS43i,Y ppm AuME-ST43,Zn ppm AuME-ST43,Zr ppm AuME-ST43,parent sample number
KDK_Soils_2023,178751,NWZ069,WEST,NAD83_U10,677801,5503005,,REG,,07/05/2023,MP,Dry,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,"Disturbed, replanted area",0.144,1.76,3.42,0.0013,Imported,VA23178295,07/28/2023,ALS,ALS,2,138.5,0.294,0.087,0.29,0.235,10.75,9.2,12.65,0.478,24.2,Imported,VA23178295,07/28/2023,ALS,ALS,2.48,5.16,0.022,0.092,0.029,0.02,0.06,3.57,7.8,0.46,836,0.484,0.012,0.486,9.92,0.0921,5.27,0.001,0.0005,4.81,0.0002,0.44,0.012,0.15,3.78,0.14,0.39,17.65,0.0025,0.049,0.588,0.0707,0.0392,0.269,52.9,0.061,24.922,24.922,3.11,89.4,2.97,
KDK_Soils_2023,178752,Nwz068,WEST,NAD83_U10,677746,5503002,,REG,,06/16/2023,EG,Damp,Sub-rounded,20,B Horizon,lt brown,Forest,Silty Sand,Loose gravel. Replanted area ,0.148,2.73,3.38,0.0015,Imported,VA23178295,07/28/2023,ALS,ALS,2,162,0.428,0.1035,0.32,0.394,12.25,11,14.75,0.73,45.1,Imported,VA23178295,07/28/2023,ALS,ALS,2.75,7.17,0.024,0.188,0.037,0.028,0.07,3.97,11.2,0.76,1160,0.609,0.017,0.585,11.2,0.0985,14.35,0.001,0.0005,6.15,0.0002,0.52,0.014,0.156,5.67,0.114,0.5,25.6,0.0025,0.043,0.723,0.0775,0.0616,0.295,66.5,0.074,25.08,25.08,3.75,129.5,6.36,
KDK_Soils_2023,178753,NWZ067,WEST,NAD83_U10,677700,5503003,,REG,,06/16/2023,KN,Damp,Sub-rounded,25,B Horizon,brown,Forest,Silty Sand,,0.091,2.09,2.88,0.0007,Imported,VA23178295,07/28/2023,ALS,ALS,2,134.5,0.338,0.0899,0.36,0.261,10.8,9.36,13.6,0.505,25.5,Imported,VA23178295,07/28/2023,ALS,ALS,2.63,5.74,0.023,0.094,0.021,0.02,0.08,3.56,9.1,0.46,725,0.487,0.012,0.471,10.15,0.0723,5.22,0.001,0.0005,5.82,0.0001,0.56,0.01,0.129,4.09,0.106,0.42,18.05,0.0025,0.048,0.671,0.0822,0.0414,0.308,58.5,0.057,25.074,25.074,3.19,93.6,3.35,
KDK_Soils_2023,178754,Nwz066,WEST,NAD83_U10,677649,5503001,,REG,,06/16/2023,EG,Damp,Sub-rounded,10,B Horizon,lt brown,Forest,Silty Sand,Many roots difficult to sample,0.037,1.6,2.36,0.0021,Imported,VA23178295,07/28/2023,ALS,ALS,2,90.6,0.234,0.0789,0.48,0.065,9.23,7.59,12.8,0.235,18.85,Imported,VA23178295,07/28/2023,ALS,ALS,2.51,4.44,0.018,0.088,0.024,0.02,0.04,2.78,7,0.38,250,0.437,0.012,0.623,7.17,0.0153,4.11,0.0005,0.0005,2.54,0.0001,0.48,0.012,0.121,3.97,0.149,0.34,16.95,0.0025,0.051,0.399,0.0658,0.0262,0.244,62.6,0.048,25.034,25.034,2.75,47,3.08,
KDK_Soils_2023,178755,Nwz065,WEST,NAD83_U10,677603,5503001,,REG,,06/16/2023,EG,Damp,Sub-angular,20,B Horizon,lt brown,Forest,Silty Sand,Replanted area,0.05,1.99,2.73,0.0019,Imported,VA23178295,07/28/2023,ALS,ALS,1,134,0.305,0.0946,0.34,0.065,10.55,7.75,12.35,0.299,33.8,Imported,VA23178295,07/28/2023,ALS,ALS,2.54,5.34,0.02,0.061,0.031,0.022,0.03,3.71,8.1,0.37,195.5,0.417,0.014,0.592,8.23,0.0353,4.48,0.001,0.0005,2.74,0.0001,0.36,0.012,0.127,3.83,0.146,0.42,18.05,0.0025,0.051,0.452,0.059,0.0299,0.315,58.2,0.078,24.544,24.544,3.91,52.7,2.13,
KDK_Soils_2023,178756,NWZ064,WEST,NAD83_U10,677551,5503002,,REG,,06/16/2023,KN,Damp,Sub-angular,25,B Horizon,brown,Forest,Silty Sand,,0.075,2.4,2.83,0.0014,Imported,VA23178295,07/28/2023,ALS,ALS,2,149.5,0.391,0.1045,0.52,0.06,13.85,7.99,11.5,0.506,36.4,Imported,VA23178295,07/28/2023,ALS,ALS,2.54,6.31,0.023,0.174,0.031,0.028,0.03,4.47,8.3,0.35,285,0.359,0.02,0.7,8.62,0.047,4.51,0.001,0.0005,3.86,0.0001,0.42,0.012,0.116,4.38,0.231,0.5,27.4,0.0025,0.054,0.805,0.0689,0.0398,0.519,52.7,0.073,25.078,25.078,5.1,59.2,6.55,
KDK_Soils_2023,178757,Nwz063,WEST,NAD83_U10,677499,5503001,,REG,,06/16/2023,EG,Damp,Sub-angular,30,B Horizon,lt brown,Forest,Silt,,0.075,2.24,3.66,0.0068,Imported,VA23178295,07/28/2023,ALS,ALS,2,147,0.368,0.0984,0.29,0.068,13.2,9.15,12.85,0.551,42,Imported,VA23178295,07/28/2023,ALS,ALS,2.73,5.8,0.024,0.098,0.027,0.028,0.04,4.37,8,0.37,514,0.497,0.013,0.576,9.64,0.0895,4.38,0.002,0.0005,4.41,0.0002,0.44,0.01,0.136,4.48,0.137,0.45,16.2,0.0025,0.074,0.656,0.0721,0.0399,0.334,56.1,0.07,24.835,24.835,5.53,66.9,3.64,
KDK_Soils_2023,178758,Nwz062,WEST,NAD83_U10,677453,5503002,,REG,,06/16/2023,EG,Damp,Sub-angular,15,B Horizon,lt brown,Forest,Silty Sand,Replanted area,0.116,2.07,3.96,0.0031,Imported,VA23178295,07/28/2023,ALS,ALS,2,132.5,0.363,0.0921,0.33,0.099,12.6,11,16.65,0.454,41,Imported,VA23178295,07/28/2023,ALS,ALS,3.1,5.7,0.029,0.067,0.021,0.026,0.05,4.43,8.6,0.55,573,0.499,0.012,0.369,11.45,0.0845,3.77,0.003,0.0005,4.87,0.0001,0.42,0.009,0.16,5.35,0.186,0.41,20.3,0.0025,0.077,0.619,0.0877,0.0323,0.317,71.5,0.055,25.064,25.064,5.21,70.7,2.62,
KDK_Soils_2023,178759,NWZ061,WEST,NAD83_U10,677396,5502999,,REG,,06/16/2023,KN,Damp,Sub-angular,20,B Horizon,brown,Forest,Silty Sand,Near road,0.144,2.05,3.07,0.0018,Imported,VA23178295,07/28/2023,ALS,ALS,2,141,0.327,0.1085,0.22,0.097,10.25,9.01,10.7,0.535,56,Imported,VA23178295,07/28/2023,ALS,ALS,2.43,5.75,0.021,0.112,0.024,0.023,0.05,3.21,7.8,0.32,930,0.571,0.013,0.544,8.7,0.0869,4.41,0.001,0.0005,5.22,0.0001,0.36,0.011,0.113,3.36,0.166,0.43,11.85,0.0025,0.07,0.579,0.0685,0.0428,0.279,49.9,0.062,25.086,25.086,2.98,78.1,3.45,
KDK_Soils_2023,178760,,,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,0.071,0.98,4.59,0.0011,,VA23178295,07/28/2023,ALS,ALS,4,114,0.447,0.1195,1.28,0.175,21.7,10.75,21.4,0.741,41.9,,VA23178295,07/28/2023,ALS,ALS,2.53,3.69,0.066,0.145,0.035,0.025,0.09,9.24,9.2,0.61,539,0.883,0.024,0.543,17.75,0.0778,6.86,0.001,0.0005,5.3,0.0004,0.66,0.02,0.343,5.13,0.113,0.48,85.4,0.0025,0.028,2.6,0.0526,0.0652,0.614,62.1,0.072,25.03,25.03,8.77,61.5,5.25,
