Sample Number,Date Sampled,Prospect,Easting,Northing,"Elevation 
(m)",UTM Grid,"QC 
Category","Standard 
Type","Rock 
Type",Lithology,"Regional 
Unit",Alteration,Min 1,Min 2,Min 3,Structure,Strike,Dip,"Sample 
Type",Occurrence,Description
222143,04/21/2023,West,677400,5503125,1425,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,,,,Chip,Outcrop,"0.0 to 1.5 m. Rock chip series across bedrock exposed in 3 sumps excavated at the Axe west Zone. North edge. Mal and black stained diorite, strongly sericitized. Sampled East to West, at 235 degrees. Gaps in sample series are where overburden was not removed."
222144,04/21/2023,West,677398,5503124,1425,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,,,,Chip,Outcrop,"1.5 to 3.0 m. Malachite and neosotite stained broken and crushed diorite, strongly sericitized. Sump1"
222145,04/21/2023,West,677394,5503121,1423,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"5.5 to 7.0 m. Malachite speckled crushed diorite, fault zone. No stretching of phenos or clasts, so just crushed.  Sump 2."
222146,04/21/2023,West,677393,5503119,1421,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"7.0 to 8.5 m. 7.0 to 7.5 m is crushed fault zone. Solid diorite from 7.5 to 8.0 m. Mal common, lots of probable neosotite and/or manganese coating most surfaces. Sump 2."
222147,04/21/2023,West,677388,5503116,1420,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"12.0 to 13.5 m. 8.5 to 12.0 no outcrop exposed. Entire interval is crushed dioritic fault gouge with heavy malachite and moderate neosotite, with abundant clay-zeolite muck. Sumps basically cut the fault at a slight angle, and much of the fault is between sumps 2 and 3."
222148,04/21/2023,West,677386,5503115,1420,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"13.5 to 15.0 m. Entire interval is crushed dioritic fault gouge with heavy malachite and moderate neosotite, with abundant clay-zeolite muck. Some hard fragments of conglomerate or volcaniclastic with angular rhyolite clasts. Mineralization is weak in clastic rock."
222149,04/21/2023,West,677384,5503113,1420,NAD83_U10,REG,,SVI,VCL,mTrNMsv,EP,,,,,,,Chip,Outcrop,"15.0 to 16.5 m. EOL. Becomes solid, volcaniclastic with diorite matrix, rhyolite and black clasts, hard, brittle. 3 bands of crushed rock with mal to 12 cm wide. Waypoint at end of sample, maximum west."
222150,04/21/2023,,,,,NAD83_U10,Control,STD37,,,,,,,,,,,Control,Control,Standard. CM-37 (High grade)
222151,07/03/2023,Agie,692084,5513661,1303,NAD83_U10,REG,,INT,GNT,MLJNgg,SCC,,,,,,,Chip,Outcrop,"8.0 to 10 .0 m. Sample book series jumps from 2222250 to 222151 here. Sericite to totally clay-altered granite with unaffected quartz phenocrysts. Green when highly oxidized, Mn-stained layer removed (10 cm thick). Increasingly Mn-stained northward over interval."
222152,07/03/2023,Agie,692084,5513663,1303,NAD83_U10,REG,,INT,GNT,MLJNgg,SCC,HEM,PY,,,,,Chip,Outcrop,10.0 to 12.0 m.Clay-sericite altered MLJNgg (granite). Hematite to Mn-stained. Green unweathered areas with limonite patches. Sparse aplite-qtz stringers thoughout interval. Green alteration is chlorite-sericite combination.
